epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
94,1.216,0.564,0.027743357777276153,63.05,87.73,0:03:14.722467,0:00:19.296814,yes,no
95,1.209,0.561,0.027352707832962876,63.39,87.33,0:03:14.735939,0:00:19.297991,yes,no
96,1.212,0.576,0.026961477393196143,63.23,84.72,0:03:14.766081,0:00:19.305814,yes,no
97,1.216,0.463,0.026569762988232853,62.86,88.87,0:03:14.747502,0:00:19.453016,yes,no
98,1.189,0.541,0.02617766126774108,64.20,85.94,0:03:14.496972,0:00:19.276712,yes,no
99,1.219,0.563,0.025785268976953223,62.98,86.33,0:03:14.793366,0:00:19.306004,yes,no
100,1.209,0.524,0.02539268293279553,63.32,86.55,0:03:14.788352,0:00:19.293264,yes,no
101,1.199,0.571,0.025000000000000012,63.73,86.95,0:03:14.699503,0:00:19.296075,yes,no
102,1.212,0.489,0.0246073170672045,63.08,88.38,0:03:14.721940,0:00:19.297914,yes,no
103,1.184,0.575,0.024214731023046804,63.94,85.75,0:03:14.622259,0:00:19.292216,yes,no
104,1.178,0.536,0.023822338732258946,64.33,87.12,0:03:14.698183,0:00:19.295987,yes,no
105,1.188,0.520,0.023430237011767177,63.91,86.98,0:03:14.708570,0:00:19.298400,yes,no
106,1.211,0.495,0.02303852260680389,63.08,88.04,0:03:14.720036,0:00:19.301251,yes,no
107,1.179,0.516,0.022647292167037154,64.36,88.44,0:03:14.937204,0:00:19.290693,yes,no
108,1.169,0.497,0.02225664222272388,64.75,88.09,0:03:14.762267,0:00:19.300006,yes,no
109,1.181,0.512,0.02186666916089241,64.19,87.65,0:03:14.822375,0:00:19.307210,yes,no
110,1.177,0.545,0.02147746920156045,64.32,87.03,0:03:14.825129,0:00:19.298813,yes,no
111,1.172,0.545,0.021089138373994242,64.70,87.66,0:03:14.721850,0:00:19.294341,yes,no
112,1.172,0.474,0.02070177249301477,64.38,88.60,0:03:14.754491,0:00:19.293101,yes,no
113,1.178,0.480,0.0203154671353569,64.07,88.87,0:03:14.713108,0:00:19.296466,yes,no
114,1.167,0.505,0.019930317616087205,64.80,87.58,0:03:14.715636,0:00:19.297888,yes,no
115,1.170,0.513,0.019546418965086458,64.71,88.56,0:03:14.501052,0:00:19.411804,yes,no
116,1.159,0.505,0.019163865903602376,65.04,88.41,0:03:14.698531,0:00:19.288449,yes,no
117,1.151,0.501,0.018782752820878643,65.13,88.24,0:03:14.829057,0:00:19.301972,yes,no
118,1.190,0.483,0.01840317375086569,63.86,89.25,0:03:14.836184,0:00:19.451018,yes,no
119,1.134,0.485,0.018025222349019283,65.74,88.72,0:03:14.439746,0:00:19.286678,yes,no
120,1.124,0.464,0.017648991869192415,66.38,90.05,0:03:14.397211,0:00:19.432667,yes,no
