epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
147,0.056,0.00846720336690871,98.13,92.07,0:01:20.073148,0:00:06.183659
148,0.059,0.008174687162255667,97.97,91.97,0:01:20.114118,0:00:06.159154
149,0.055,0.007886322351782785,98.10,92.63,0:01:20.027657,0:00:06.469316
150,0.053,0.007602180085192145,98.19,92.64,0:01:20.144281,0:00:06.469442
151,0.045,0.007322330470336316,98.45,92.61,0:01:20.018256,0:00:06.162406
152,0.051,0.007046842555920285,98.19,92.46,0:01:20.025987,0:00:06.159079
153,0.044,0.006775784314464719,98.46,92.82,0:01:19.991743,0:00:06.452212
154,0.042,0.006509222625534758,98.54,93.24,0:01:20.120835,0:00:06.509714
155,0.039,0.006247223259238513,98.65,93.09,0:01:20.218413,0:00:06.178836
156,0.035,0.0059898508599992295,98.82,93.43,0:01:20.202564,0:00:06.471589
157,0.029,0.005737168930605274,99.10,93.40,0:01:20.152576,0:00:06.232406
158,0.023,0.005489239816541763,99.23,93.23,0:01:20.398625,0:00:06.159408
159,0.025,0.005246124690607742,99.18,93.76,0:01:20.107209,0:00:06.456013
160,0.024,0.005007883537822737,99.23,93.47,0:01:20.053226,0:00:06.159010
161,0.023,0.004774575140626318,99.29,93.65,0:01:19.986362,0:00:06.161084
162,0.022,0.00454625706437442,99.27,93.84,0:01:20.130281,0:00:06.445595
163,0.017,0.004322985643135959,99.47,93.67,0:01:20.063044,0:00:06.174398
164,0.013,0.0041048159657932504,99.62,93.95,0:01:20.117800,0:00:06.451135
165,0.015,0.0038918018624496302,99.56,93.90,0:01:20.017202,0:00:06.163546
166,0.011,0.0036839958911477027,99.64,94.38,0:01:20.002311,0:00:06.471429
167,0.011,0.0034814493249014076,99.67,94.28,0:01:20.022887,0:00:06.167396
168,0.009,0.003284212139045219,99.75,93.93,0:01:20.006107,0:00:06.164672
169,0.007,0.003092332998903412,99.81,93.94,0:01:20.116090,0:00:06.178847
170,0.007,0.002905859247782665,99.80,94.43,0:01:20.153302,0:00:06.468466
171,0.006,0.0027248368952908068,99.86,94.56,0:01:20.146609,0:00:06.494648
172,0.004,0.002549310605984613,99.92,94.54,0:01:20.086724,0:00:06.182798
