epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
146,0.055,0.008763798791745414,98.15,92.54,0:03:39.320221,0:00:13.821823
147,0.050,0.00846720336690871,98.48,93.10,0:03:39.382165,0:00:14.101484
148,0.047,0.008174687162255667,98.50,93.28,0:03:39.287244,0:00:14.077524
149,0.049,0.007886322351782785,98.36,92.51,0:03:39.240196,0:00:13.811146
150,0.041,0.007602180085192145,98.69,93.65,0:03:39.150958,0:00:14.043448
151,0.039,0.007322330470336316,98.76,93.34,0:03:39.248872,0:00:13.834154
152,0.040,0.007046842555920285,98.75,93.95,0:03:39.315377,0:00:14.072712
153,0.035,0.006775784314464719,98.90,93.50,0:03:39.200522,0:00:13.812071
154,0.031,0.006509222625534758,99.05,93.80,0:03:39.185180,0:00:13.808113
155,0.030,0.006247223259238513,99.13,94.23,0:03:39.286775,0:00:14.080824
156,0.027,0.0059898508599992295,99.14,94.06,0:03:39.274244,0:00:13.838930
157,0.030,0.005737168930605274,99.08,93.69,0:03:39.293214,0:00:13.837665
158,0.024,0.005489239816541763,99.30,94.02,0:03:39.204134,0:00:13.816834
159,0.022,0.005246124690607742,99.38,94.33,0:03:39.311964,0:00:14.067614
160,0.021,0.005007883537822737,99.37,94.45,0:03:39.305153,0:00:14.070496
161,0.018,0.004774575140626318,99.46,93.98,0:03:39.244740,0:00:13.830013
162,0.017,0.00454625706437442,99.50,94.33,0:03:39.328467,0:00:13.815290
163,0.016,0.004322985643135959,99.51,94.67,0:03:39.259380,0:00:14.071363
164,0.013,0.0041048159657932504,99.64,94.59,0:03:39.265595,0:00:13.837004
165,0.011,0.0038918018624496302,99.71,94.40,0:03:39.259336,0:00:13.834474
166,0.010,0.0036839958911477027,99.77,94.95,0:03:39.177797,0:00:14.070848
167,0.008,0.0034814493249014076,99.81,95.10,0:03:39.295017,0:00:14.039233
168,0.007,0.003284212139045219,99.87,94.80,0:03:39.219319,0:00:13.836856
169,0.006,0.003092332998903412,99.88,95.26,0:03:39.201424,0:00:14.115771
170,0.007,0.002905859247782665,99.84,95.17,0:03:39.285984,0:00:13.838007
171,0.005,0.0027248368952908068,99.90,95.07,0:03:39.381490,0:00:13.856086
172,0.005,0.002549310605984613,99.91,94.90,0:03:39.259659,0:00:13.820984
173,0.004,0.0023793236883495176,99.93,95.29,0:03:39.206346,0:00:14.053052
174,0.004,0.002214918084113875,99.91,95.45,0:03:39.308835,0:00:14.206614
175,0.003,0.0020561343579004786,99.95,95.37,0:03:39.279161,0:00:13.831655
176,0.003,0.0019030116872178384,99.96,95.46,0:03:39.144209,0:00:14.049451
177,0.003,0.0017555878527937174,99.98,95.57,0:03:39.111300,0:00:14.042324
178,0.003,0.0016138992292533167,99.98,95.63,0:03:39.348406,0:00:14.066876
179,0.002,0.0014779807761443645,99.99,95.70,0:03:39.299186,0:00:14.060553
180,0.002,0.0013478660293113683,99.98,95.74,0:03:39.277530,0:00:14.071092
181,0.002,0.0012235870926211624,99.97,95.74,0:03:39.277276,0:00:13.833160
182,0.002,0.0011051746300417477,99.98,95.70,0:03:39.263151,0:00:13.810925
183,0.002,0.0009926578580764268,99.98,95.82,0:03:39.139939,0:00:14.067439
184,0.002,0.0008860645385550515,99.99,95.80,0:03:39.244741,0:00:13.810579
185,0.002,0.0007854209717842264,99.98,95.84,0:03:39.205957,0:00:14.055367
186,0.002,0.0006907519900580866,99.99,95.78,0:03:39.355904,0:00:13.836513
187,0.002,0.0006020809515313173,100.00,95.82,0:03:39.327179,0:00:13.800945
188,0.002,0.0005194297344558538,100.00,95.71,0:03:39.177141,0:00:13.830979
189,0.002,0.00044281873178278225,99.99,95.86,0:03:39.219558,0:00:14.064890
190,0.002,0.0003722668461306535,99.99,95.91,0:03:39.355405,0:00:14.074117
191,0.002,0.0003077914851215587,100.00,95.90,0:03:39.298073,0:00:13.834731
192,0.002,0.00024940855708606175,99.99,95.83,0:03:39.317443,0:00:13.816956
193,0.002,0.00019713246713805603,100.00,95.81,0:03:39.301200,0:00:13.811384
194,0.002,0.00015097611362051023,100.00,95.86,0:03:39.372450,0:00:13.850006
195,0.002,0.00011095088492300018,99.99,95.88,0:03:39.196563,0:00:13.815184
196,0.002,7.706665667180096e-05,100.00,95.95,0:03:39.181240,0:00:14.073455
197,0.002,4.9331789293211064e-05,99.99,95.83,0:03:39.279351,0:00:13.817277
198,0.002,2.7753125950752432e-05,100.00,95.89,0:03:39.292671,0:00:13.832692
199,0.002,1.2335990856710008e-05,99.99,95.89,0:03:39.217398,0:00:13.836678
200,0.002,3.0841879584853094e-06,100.00,95.85,0:03:39.184249,0:00:13.817687
