epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time
95,0.686,0.647,0.0054705415665925695,77.19,80.15,0:00:59.926448,0:00:02.218833
96,0.692,0.685,0.005392295478639223,77.33,78.58,0:00:59.610964,0:00:02.216770
97,0.691,0.636,0.005313952597646565,77.42,80.57,0:00:59.906781,0:00:02.223987
98,0.682,0.660,0.00523553225354821,77.67,79.61,0:00:59.893999,0:00:02.217081
99,0.683,0.666,0.005157053795390639,77.79,79.15,0:00:59.929067,0:00:02.220373
100,0.681,0.655,0.005078536586559101,77.94,79.76,0:00:59.699996,0:00:02.193809
101,0.683,0.644,0.004999999999999997,77.65,80.13,0:01:00.434274,0:00:02.192354
102,0.675,0.644,0.004921463413440894,78.04,79.62,0:00:59.598200,0:00:02.204493
103,0.680,0.707,0.004842946204609355,77.54,77.99,0:00:59.603819,0:00:02.199928
104,0.679,0.670,0.004764467746451784,77.81,79.33,0:00:59.614336,0:00:02.199038
105,0.672,0.635,0.00468604740235343,78.07,80.21,0:00:59.874854,0:00:02.219806
106,0.675,0.656,0.004607704521360773,77.79,79.54,0:00:59.908247,0:00:02.231692
107,0.674,0.648,0.0045294584334074255,77.87,79.92,0:01:00.008475,0:00:02.218975
108,0.665,0.648,0.004451328444544771,78.32,80.04,0:01:00.114265,0:00:02.240325
109,0.675,0.618,0.004373333832178476,77.80,81.04,0:01:00.032217,0:00:02.206554
110,0.667,0.697,0.004295493840312086,78.02,78.08,0:01:00.085999,0:00:02.223965
111,0.668,0.618,0.004217827674798844,78.24,81.00,0:00:59.905589,0:00:02.295915
112,0.660,0.602,0.00414035449860295,78.39,81.65,0:01:00.048963,0:00:02.235953
113,0.662,0.653,0.004063093427071376,78.50,79.75,0:00:59.979529,0:00:02.202079
114,0.657,0.615,0.003986063523217437,78.47,81.20,0:01:00.005379,0:00:02.195639
115,0.658,0.621,0.003909283793017288,78.72,81.14,0:01:00.064054,0:00:02.229979
116,0.652,0.615,0.0038327731807204714,78.76,81.43,0:00:59.959809,0:00:02.232620
117,0.655,0.610,0.003756550564175725,78.76,81.41,0:00:59.997218,0:00:02.225503
118,0.651,0.605,0.0036806347501731345,78.94,81.35,0:00:59.872535,0:00:02.193218
119,0.653,0.617,0.003605044469803853,78.78,81.03,0:00:59.870275,0:00:02.228821
120,0.652,0.637,0.00352979837383848,78.74,80.52,0:00:59.642065,0:00:02.195810
121,0.646,0.651,0.0034549150281252636,78.90,79.69,0:00:59.777402,0:00:02.217286
122,0.650,0.608,0.0033804129090092517,78.93,81.69,0:00:59.866671,0:00:02.226727
123,0.643,0.614,0.003306310398773542,79.11,81.63,0:00:59.600765,0:00:02.199163
124,0.641,0.632,0.003232625781103714,79.29,80.92,0:00:59.493567,0:00:02.190449
125,0.640,0.618,0.0031593772365766104,79.39,80.77,0:00:59.524763,0:00:02.200662
126,0.636,0.621,0.0030865828381745515,79.29,81.10,0:00:59.599802,0:00:02.226312
127,0.635,0.647,0.0030142605468260956,79.44,80.02,0:00:59.718180,0:00:02.194926
128,0.637,0.619,0.0029424282069744553,79.35,80.93,0:00:59.570893,0:00:02.202655
129,0.633,0.588,0.002871103542174636,79.60,82.29,0:00:59.790493,0:00:02.236469
130,0.629,0.624,0.0028003041507204235,79.71,80.96,0:01:00.678268,0:00:02.193637
131,0.632,0.604,0.002730047501302266,79.60,81.37,0:00:59.649440,0:00:02.198087
132,0.630,0.592,0.0026603509286971336,79.69,82.12,0:00:59.724106,0:00:02.200617
133,0.627,0.607,0.0025912316294914224,79.78,81.27,0:00:59.603268,0:00:02.195531
134,0.624,0.603,0.0025227066578379616,79.88,82.10,0:00:59.839647,0:00:02.218773
135,0.620,0.586,0.0024547929212481432,79.77,82.36,0:00:59.685621,0:00:02.211262
136,0.623,0.588,0.0023875071764202557,79.71,81.82,0:00:59.954653,0:00:02.220709
137,0.618,0.597,0.0023208660251050153,80.19,81.64,0:00:59.988843,0:00:02.229689
138,0.616,0.590,0.0022548859100093403,80.12,81.87,0:01:00.054968,0:00:02.198296
139,0.617,0.591,0.0021895831107393462,80.22,81.80,0:00:59.850269,0:00:02.194728
140,0.613,0.589,0.002124973739783607,80.22,82.45,0:00:59.890484,0:00:02.207030
141,0.615,0.584,0.0020610737385376348,80.22,82.43,0:01:00.058137,0:00:02.225060
142,0.610,0.584,0.0019978988733705804,80.38,82.26,0:01:00.003813,0:00:02.199851
143,0.613,0.576,0.001935464731735117,80.19,82.80,0:00:59.843683,0:00:02.201038
144,0.609,0.582,0.0018737867183214738,80.29,81.94,0:00:59.715017,0:00:02.323979
145,0.608,0.566,0.001812880051256551,80.46,82.89,0:00:59.658208,0:00:02.213678
146,0.603,0.551,0.001752759758349082,80.69,83.05,0:00:59.727340,0:00:02.217631
147,0.599,0.571,0.0016934406733817413,80.79,82.53,0:00:59.593720,0:00:02.206998
148,0.601,0.564,0.0016349374324511328,80.71,82.79,0:00:59.620840,0:00:02.202629
149,0.595,0.577,0.0015772644703565563,81.02,82.45,0:00:59.662332,0:00:02.197782
